Prov,Network,name,District,size,longitude,latitude
VTP,3G,VTP0251_PHONSIDA,Kasi,4,102.2872,19.2594
XYL,3G,XYL0048_PAKHOUNG,Xaiyabouly,3,101.80512,19.15913
XKH,4G,XKH0069_SANPATAP,Kham,3,103.68838,19.81525
KHM,3G,KHM0247_THALANG,Nakay,4,105.053,17.8422
CHP,3G,CHP0409_XEPEIN,Pakxong,4,106.299072,15.11225
BLK,2G,BLK0035_POLICE_SC,PAKSAN,3,103.653,18.423
BLK,3G,BLK0121_PHONNGAM,Pakkading,6,104.114659,18.304154
UDX,3G,UDX0132_ARNO,La,3,102.26946,20.92536
XYL,4G,XYL0058_BANKHAND,Thongmixai,3,101.12938,18.42677
SVN,2G,SVN0252_BORKHAM,KAISONE,3,105.9681,16.96309
KHM,3G,KHM0138_NAMDIK,YOMMALAT,6,105.554,17.5866
VTE,3G,VTE0392_BANNA_THANGON,XAITHANY,6,102.633792,18.130289
LPB,2G,LPB0152_M_PAKSENG,Pakxeng,2,102.672004,20.165675
CHP,4G,CHP0134_KENGKOUM,Khong,9,105.87671,14.02267
VTE,4G,VTE0556_XANGKHOU3,Xaithani,11,102.64295,18.03201
VTP,3G,VTP0269_KONGPHANH_102,Kasi,6,101.9921,18.9331
VTE,4G,VTE0478_NONGPHAYA3,XAITHANY,16,102.611752,18.038918
VTP,3G,VTP0253_PHOUKHAMTAI,Kasi,6,102.2524,19.2247
XYL,4G,XYL0003_DONEMAI_HIGHSCHOOL,Xaiyabouly,9,101.6974,19.26178
CHP,3G,CHP0384_HORPHAKYING2,PAKXE,4,105.863511,15.092743
VTP,4G,VTP0224_PONGXONG,Hinheup,3,102.3387,18.68405
VTE,4G,VTE0381_PHONXAI_NAMXUANG,Naxaythong,6,102.45611,18.27316
BOK,4G,BOK0120_M_MEUNG,Meung,6,100.45806,20.7325
HUP,2G,HUP0033_M_PUA,Viengxai,4,104.2917,20.4766
KHM,3G,KHM0139_NONGPHUE,YOMMALAT,4,104.9602,17.6394
BOK,4G,BOK0086_PHONHOM2,Tonpheung,8,100.111481,20.295423
XKH,4G,XKH0044_SANAMKILA,Pek,12,103.208049,19.443668
HUP,2G,HUP0014_BANKARN,Xam-Nua,4,103.99918,20.43703
SLV,2G,SLV0024_KHASA,SALAVAN,3,105.937051,15.676287
VTP,4G,VTP0058_DONE_SOUKHABULY,Thourakhom,3,102.6264,18.4941
XYL,2G,XYL0177_NABORNOI_BOHANGNA,Boten,3,101.08768,17.54725
KHM,4G,KHM0128_BOUNGBAO,Hinboun,1,105.227871,17.572898
VTE,4G,VTE0605_NONGHEO2,Hatxayfong,6,102.688697,17.878048
LNT,3G,LNT0031_BANMAI,Louang-Namtha,6,101.4223,20.93748
UDX,4G,UDX0149_THIEW_RW,XAY,3,101.971,20.6368
PSL,2G,PSL0058_PANGHOUK,Mai,4,102.86948,21.21863
HUP,4G,HUP0057_SOPLRAP,HOUAMUANG,5,103.61058,20.03276
LPB,4G,LPB0107_PAKNGA,Nambak,9,102.417999,20.3487
KHM,4G,KHM0137_BANMENG,Gnommalat,9,105.19775,17.56069
CHP,4G,CHP0347_NONGKAIR,Pathoumphon,3,105.938561,14.794386
ATP,4G,ATP0047_SANAMXAY,Sanamxai,4,106.59184,14.68476
VTE,3G,VTE0399_DONGBANG,Xaithani,8,102.72863,18.13949
KHM,3G,KHM0005_NONGBUAKHAMKANG,Xebangfai,6,104.820072,17.391176
UDX,4G,UDX0012_DK29,xai,8,101.97751,20.65574
BLK,3G,BLK0074_NAPEIR,KHAMKERT,8,105.09034,18.30669
UDX,4G,UDX0080_NAMOUNE,Houn,4,101.438989,20.124094
VTE,4G,VTE0226_SETTHA,Xaisettha,14,102.631,17.973
BLK,4G,BLK0155_BOLIKHAN,Borikhan,5,103.736,18.5719
BLK,3G,BLK0022_PAKBUNG,PAKSAN,4,103.69942,18.34637
LNT,4G,LNT0035_BORTEN_POLICE,LOUANGNAMTHA,9,101.678445,21.187931
CHP,3G,CHP0463_NONGMARKKEO,Champasak,6,105.766608,14.822761
CHP,3G,CHP0120_PHOUOY,PAKXONG,6,106.0228,14.0458
SVN,4G,SVN0152_KOKWAR,Songkhon,3,105.25359,16.224604
VTP,3G,VTP0124_PHONSOUNG_HIGHWAY,Hinheup,6,102.3981,18.7511
VTE,3G,VTE0602_NONGHAI4,Hatxayfong,6,102.651372,17.914249
VTE,2G,VTE0026_LAOPLAZA,Chanthabouri,2,102.60786,17.96667
XKH,4G,XKH0103_THANGXIENGNEUA,Phaxai,3,103.091426,19.293894
SVN,3G,SVN0204_TABONGPHET,KAISONE,12,105.278009,16.703174
VTP,4G,VTP0082_SOUKSALA,Thourakhom,6,102.62607,18.2313
BLK,4G,BLK0052_BOUNGFAN,KHAMKERT,7,104.948975,18.175581
LNT,4G,LNT0044_FINANCE,Louang-Namtha,3,101.675493,21.188695
LNT,4G,LNT0035_BORTEN_POLICE,Louang-Namtha,9,101.678445,21.187931
BLK,3G,BLK0007_CHAMPA_HOTEL,Pakxan,6,103.637475,18.395926
BLK,4G,BLK0036_SANTHIPHABSC,Pakxan,3,103.6457,18.3983
CHP,3G,CHP0086_THONGSET,Pakxong,6,106.30666,15.2102
VTE,4G,VTE0525_SAPHANGKANONG,Xaithani,11,102.736886,18.028138
BLK,4G,BLK0172_PHAMEUNG,Borikhan,9,103.684613,18.743252
VTP,3G,VTP0233_BUAMPUK,Kasi,6,102.2641,19.1288
VTE,3G,VTE0418_DONTIOU4,Xaithani,6,102.660816,18.068794
SVN,2G,SVN0220_BEUNGTHALAY,KAISONE,3,105.54818,16.63151
VTP,2G,VTP0189_NAKHAM,PHONHONG,4,101.9758,18.5716
KHM,2G,KHM0118_BUALAPHA,BOUALAPHA,3,104.985,17.0865
VTP,3G,VTP0291_NUMHONE,Muen,8,101.9574,18.2856
HUP,2G,HUP0024_PHOULOUP,Xam-Nua,3,104.058242,20.403242
CHP,4G,CHP0399_KM28,Pathoumphon,3,105.93308,14.9338
VTE,4G,VTE0624_SOMSANOOK,Hatxayfong,9,102.64228,17.89028
KHM,4G,KHM0171_KHOUNMANEE,Hinboun,9,104.602869,18.117059
BLK,4G,BLK0015_KM9,PAKSAN,2,103.72967,18.37727
SVN,3G,SVN0011_DONGDAMDUAN,Kaisone,6,104.76041,16.54635
KHM,4G,KHM0181_KONGLOR,KHOUNKHAM,3,105.2361,17.45001
BLK,4G,BLK0133_HOUAYHOY,Viengthong,3,104.365758,18.608158
LNT,3G,LNT0079_M_VIENGPOUKHA,Viengphoukha,6,101.065,20.6883
XYL,4G,XYL0165_M_NGEUN,Ngeun,8,101.11242,19.62992
CHP,3G,CHP0457_KENGSAN,Pakxe,6,105.779125,15.17499
SLV,2G,SLV0047_KHOUMKHAM,Khongxedon,3,105.85081,15.55665
SVN,3G,SVN0024_KM11,Kaisone,6,104.815128,16.615692
HUP,2G,HUP0037_PHOUKAEWKIA,Viengxai,5,104.20576,20.574984
SVN,3G,SVN0200_NACHANH,Atsaphangthong,6,105.214,16.7895
BLK,4G,BLK0113_PAKKADING,Pakkading,3,103.99707,18.33225
VTE,4G,VTE0500_PAKXAPKAO,Xaithani,8,102.77703,18.142909
SVN,4G,SVN0247_NAHINDARN,Thapangthong,4,105.810913,15.984441
VTE,2G,VTE0684_DONHAI,Pak-Ngum,3,102.93019,18.0832
KHM,4G,KHM0151_NONGXEUN,Boualapha,4,105.80036,17.53009
XSB,3G,XSB0040_POWERHOUSE,Longcheng,6,102.840572,18.993023
BLK,4G,BLK0085_PHONTHONG,khamkeut,2,104.95863,18.12911
SVN,2G,SVN0127_DONVAI,Songkhon,3,105.421,16.0243
CHP,4G,CHP0256_BANMOE1,Champasak,4,105.69715,14.86523
XYL,3G,XYL0145_PHONSACK,Phiang,4,101.47824,18.6139
VTE,4G,VTE0530_SENOUDOM,XAITHANY,3,102.8142,18.11304
VTE,4G,VTE0409_DONGSANGHIN3,XAITHANY,2,102.68536,18.06235
SVN,3G,SVN0286_YANGKHAM,Xaibouri,6,104.882,16.9569
LNT,4G,LNT0118_BORTEN_CENTER_C,LOUANGNAMTHA,6,101.6732,21.18861
CHP,3G,CHP0087_THONGVAY,Pakxong,6,106.514391,15.195543
VTP,2G,VTP0217_NONGLUANG,Hinheup,4,102.2566,18.7612
VTE,4G,VTE0456_NABONG_SC,Xaithani,7,102.79166,18.12627
CHP,4G,CHP0145_LIPHEE,Khong,3,105.92056,13.96072
BLK,3G,BLK0187_PALAY_MARKET,Thaphabat,12,103.19868,18.37239
CHP,3G,CHP0253_THATSAMPANG,Soukhouma,6,105.743939,14.707256
KHM,4G,KHM0192_KAVANAPHAKEO,Mahaxai,3,105.617,17.3148
VTE,3G,VTE0573_DONGKHAMXANG3,Hatxayfong,6,102.67603,17.8987
CHP,3G,CHP0094_HOAUYJIET,PAKXONG,6,106.075475,15.317688
ATP,3G,ATP0048_TARTXEPHA,Sanamxai,6,106.447198,14.80374
